,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
79,Al0.9Cr1Fe1Ni2.1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,9.1,610000000.0,,1173000000.0,
80,Al1.25Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.97e-06,,,,,4834851000.0,,,,,
81,Al1.25Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.197e-05,,,,,,,,,,
82,Al1.25Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.335e-05,,,,,,,,,,
83,Al1.25Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.03e-05,,,,,,,,,,
84,Al1.5Cr1Fe1Co1Cu1Ni1,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.18e-05,,,,,,,,,,
85,Al1.5Cr1Fe1Co1Cu1Ni1,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,4883886000.0,,,,,
86,Al1.5Cr1Fe1Co1Cu1Ni1,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4499999999999998e-05,,,,,,,,,,
87,Al1.5Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,3942414000.0,,,,,
88,Al1.5Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.95e-06,,,,,4908403500.0,,,,,
89,Al1.5Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.188e-05,,,,,,,,,,
90,Al1.5Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.301e-05,,,,,,,,,,
91,Al1.5Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.726e-05,,,,,,,,,,
92,Al1.5Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,6423585000.0,,,,,
93,Al1.8Cr1Fe1Co1Cu1Ni1,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.15e-05,,,,,,,,,,
94,Al1.8Cr1Fe1Co1Cu1Ni1,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.4499999999999998e-05,,,,,,,,,,
95,Al12.5Cr12.5Fe12.5Co12.5Ni50,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,2206575000.0,,,,,
96,Al12Cr18Fe35(CoNi)18,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,7.9,866000000.0,,1223000000.0,
97,Al14.3Cr14.3Fe14.3Co14.3Ni42.9,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,2373294000.0,,,,,
98,Al15.4Cr15.4Fe15.4Co15.4Ni38.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,2598855000.0,,,,,
99,Al16.7Cr16.7Fe16.7Co16.7Ni33.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,3285345000.0,,,,,
100,Al16.7Cr16.7Fe16.7Co33.3Ni16.7,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,5217324000.0,,,,,
101,Al16.7Cr33.3Fe16.7Co16.7Ni16.7,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,6050918999.999999,,,,,
102,Al16Cr16Fe16Co16Ni34.4,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,16.5,545000000.0,,1050000000.0,
103,Al16Cr16Fe16Co16Ni35.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,20.0,545000000.0,,1110000000.0,
104,Al17Cr17(FeNi)33,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,15.7,796000000.0,,1437000000.0,
105,Al17Cr17Fe17Co17Ni33.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,16.5,545000000.0,,1030000000.0,
106,Al17Cr17Fe17Cu17Ni33,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,30.0,,,,,,,,,
107,Al18.2Cr18.2Fe18.2Co18.2Ni27.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,4932920999.999999,,,,,
108,Al18Cr10Fe10Co30Ni29Mo3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,14.5,1198300000.0,,,3527577900.0,,,,,
109,Al18Cr10Fe10Co30Ni31Mo,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,18.2,1159700000.0,,,3504041100.0,,,,,
110,Al19Fe20Co20Ni41,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,18.7,,,,
111,Al1Cr1Fe0.6Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,7394478000.0,,,,,
112,Al1Cr1Fe1.5Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,6227445000.0,,,,,
113,Al1Cr1Fe1Co0.5Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,7855407000.0,,,,,
114,Al1Cr1Fe1Co1.5Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,7266987000.0,,,,,
115,Al1Cr1Fe1Co1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,8404599000.0,,,,,
116,Al1Cr1Fe1Co1Ni0.5Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,6943356000.0,,,,,
117,Al1Cr1Fe1Co1Ni1.5Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,5746902000.0,,,,,
118,Al1Cr1Fe1Co1Ni1Mo0.1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1804000000.0,,,,,,2280000000.0,,
119,Al1Cr1Fe1Co1Ni1Mo0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2456000000.0,,,,,,2953000000.0,,
120,Al1Cr1Fe1Co1Ni1Mo0.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2649000000.0,,,,,,3208000000.0,,
121,Al1Cr1Fe1Co1Ni1Mo0.4,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2670000000.0,,,,,,3161000000.0,,
122,Al1Cr1Fe1Co1Ni1Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,2757000000.0,,,7258814500.0,,,3036000000.0,,
123,Al1Cr1Fe1Co1Ni2.1,0.09933333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,20.8,1302333333.3333333,,,
124,Al1Cr1Fe1Co1Ni2Mo0.5,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,3873765000.0,,,,,
125,Al1Cr1Fe1Co1Ni2W0.1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,41.4,477900000.0,,,2923957050.0,,,,,
126,Al1Cr1Fe1Co1Ni2W0.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,42.0,489500000.0,,,2923466700.0,,,,,
127,Al1Cr1Fe1Co1Ni2W0.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,31.0,492500000.0,,,3048505950.0,,,,,
128,Al1Cr1Fe1Co1Si0.2Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1265000000.0,,,,,,2173000000.0,,
129,Al1Cr1Fe1Co1Si0.4Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1481000000.0,,,,,,2444000000.0,,
